attribute_concept,masked_display_value,value_hash,global_frequency,rule2_status
address_line2,"""qu…a""",6a940caa3769e9d7d82d5e5601d6b61322692112e6043847ce1f5d96bb720d86,1149,worthless
address_line2,flo… 1,8e1a2ac9e0ecfc8c2313891f1a85a343f2763306ec4b1f70b67d87d29d023cb3,1250,worthless
address_line2,flo…10,33ebd94d5698469926f2817fe47fc3e7e1b5da60f839d177c875b7325cd4ca73,1291,worthless
address_line2,flo…11,ff56faae0055f99bd47af52d60a2335e12e2754e3d5e6b7fc46c45146cefe773,1286,worthless
address_line2,flo…12,e9fdfde50f6356b4a0debcdf00d930e67cba39d8f1fa63ae8a9a845588b52c57,1272,worthless
address_line2,flo… 2,eb8be4fad6392e1b9ec5e079d27713dc191a33f9099212e3437512bb2deaef75,1263,worthless
address_line2,flo… 3,53065862084e4284e6e8c594ab599239a573e3a6140cb823040a2172400ff0c1,1243,worthless
address_line2,flo… 4,18d1ed3aaf0e45e5546a0a4ac3f29f2f357bc456aa9775f1eed885a16a9620d6,1225,worthless
address_line2,flo… 5,df551c055830f732d20c71c83256209e595d29a6bfbb8db798fc036369b07101,1267,worthless
address_line2,flo… 6,56c344de2849e17d5c93e79e1d772e0f849e9f350dadc13f3412b4095dc6ace6,1218,worthless
address_line2,flo… 7,8a653450c20d4eb04939cc1ba12cf3fbb01daa089df7ea0c73ec348828e8a957,1301,worthless
address_line2,flo… 8,e5acf78a36aac8201ed93144218294a8e21efe5169f2145f7d62d13083277b53,1257,worthless
address_line2,flo… 9,77801635b6bd51b7dc511b2a9446db3f5a08ded18780e2cf9d0a973e1d532445,1177,worthless
address_line2,hel…ार,4417805090400bd483f13f0c607c72a21d49deb3d4d44543b799c44a2fcfa937,584,worthless
address_line2,mul…te,a8da9ea6343456344c08dfe1ccd5ddd9f99935d4dc516ea331ab7d1e91228a56,849,worthless
address_line2,sui… 1,1c966c7f35028a355fa07da479eba7d1549fb0c87650d532a47e63cf1acdab3e,73,worthless
