bin_index,lower_inclusive,upper_exclusive,test_pairs,test_matches,test_nonmatches,observed_match_rate,posterior_alpha,posterior_beta,posterior_mean_match_probability,operational_unique_cluster_pairs,operational_review_cluster_pairs,operational_separate_cluster_pairs
0,0.0,0.1,9375,0,9375,0.0,0.5,9375.5,5.332764505119454e-05,19755,0,19755
1,0.1,0.2,207,0,207,0.0,0.5,207.5,0.002403846153846154,458,0,458
2,0.2,0.3,14332,4277,10055,0.2984231091264304,4277.5,10055.5,0.29843717295751065,12603,0,12603
3,0.3,0.4,27,0,27,0.0,0.5,27.5,0.017857142857142856,66,0,66
4,0.4,0.5,94,0,94,0.0,0.5,94.5,0.005263157894736842,25,0,25
5,0.5,0.6,336,278,58,0.8273809523809523,278.5,58.5,0.8264094955489614,944,0,944
6,0.6,0.62,0,0,0,,0.5,0.5,0.5,0,0,0
7,0.62,0.7,406,374,32,0.9211822660098522,374.5,32.5,0.9201474201474201,1292,1292,0
8,0.7,0.8,31,31,0,1.0,31.5,0.5,0.984375,6,6,0
9,0.8,0.84,33,31,2,0.9393939393939394,31.5,2.5,0.9264705882352942,91,91,0
10,0.84,0.86,5762,5096,666,0.8844151336341548,5096.5,666.5,0.8843484296373416,13858,13858,0
11,0.86,0.88,0,0,0,,0.5,0.5,0.5,0,0,0
