event_type,event,candidate_pairs,true_match_pairs,true_non_match_pairs,auto_merge_pairs,auto_merge_true_positives,auto_merge_false_positives,auto_merge_precision,auto_merge_recall,human_review_pairs,human_review_true_matches,human_review_yield,assisted_recall,leave_separate_pairs,leave_separate_true_matches
conflict,account_reference_conflict,4023,301,3722,292,292,0,1.0,0.9700996677740864,9,9,1.0,1.0,3722,0
conflict,date_of_birth_conflict,4357,0,4357,0,0,0,,,0,0,,,4357,0
conflict,email_conflict,32348,14026,18322,4541,4541,0,1.0,0.323755881933552,5866,5208,0.8878281622911695,0.6950663054327677,21941,4277
conflict,name_conflict,23751,9078,14673,4494,4494,0,1.0,0.4950429610046266,29,29,1.0,0.49823749724608946,19228,4555
conflict,phone_conflict,8056,0,8056,0,0,0,,,0,0,,,8056,0
conflict,shared_email_payment_household_risk,1193,0,1193,0,0,0,,,0,0,,,1193,0
conflict,verified_email_conflict,199,93,106,93,93,0,1.0,1.0,0,0,,1.0,106,0
evidence,email_skeleton,3912,3912,0,3909,3909,0,1.0,0.9992331288343558,3,3,1.0,1.0,0,0
evidence,exact_account_reference,8986,8986,0,8982,8982,0,1.0,0.9995548631204095,4,4,1.0,1.0,0,0
evidence,exact_device_id,41633,27643,13990,22674,22674,0,1.0,0.8202438230293384,448,414,0.9241071428571429,0.8352204898165901,18511,4555
evidence,exact_email,10831,9638,1193,9630,9630,0,1.0,0.9991699522722557,8,8,1.0,1.0,1193,0
evidence,exact_payment_token,1729,536,1193,536,536,0,1.0,1.0,0,0,,1.0,1193,0
evidence,exact_phone,18424,18424,0,18399,18399,0,1.0,0.998643074250977,25,25,1.0,1.0,0,0
evidence,exact_provider_id,1101,1101,0,1101,1101,0,1.0,1.0,0,0,,1.0,0,0
evidence,exact_verified_email,9920,9920,0,9920,9920,0,1.0,1.0,0,0,,1.0,0,0
evidence,name_city,30331,25002,5329,19904,19904,0,1.0,0.7960963122950164,5764,5098,0.8844552394170715,1.0,4663,0
evidence,name_date_of_birth,1297,1296,1,1296,1296,0,1.0,1.0,0,0,,1.0,1,0
evidence,phone_suffix_9,4813,4813,0,4813,4813,0,1.0,1.0,0,0,,1.0,0,0
evidence,same_source_record_id,4719,4719,0,4719,4719,0,1.0,1.0,0,0,,1.0,0,0
