identifier_family,availability_state,candidate_pairs,true_match_pairs,true_non_match_pairs,auto_merge_pairs,auto_merge_true_positives,auto_merge_false_positives,auto_merge_precision,auto_merge_recall,human_review_pairs,human_review_true_matches,human_review_yield,assisted_recall,leave_separate_pairs,leave_separate_true_matches
account_or_provider,both_present,25924,20808,5116,20795,20795,0,1.0,0.9993752402921953,42,13,0.30952380952380953,1.0,5087,0
account_or_provider,exactly_one_present,24746,15909,8837,5994,5994,0,1.0,0.3767678672449557,5806,5419,0.9333448157078884,0.7173926708152618,12946,4496
account_or_provider,neither_present,9057,2494,6563,2335,2335,0,1.0,0.9362469927826784,384,100,0.2604166666666667,0.9763432237369687,6338,59
address,both_present,3535,883,2652,883,883,0,1.0,1.0,205,0,0.0,1.0,2447,0
address,exactly_one_present,9585,1924,7661,1923,1923,0,1.0,0.9994802494802495,209,1,0.004784688995215311,1.0,7453,0
address,neither_present,46607,36404,10203,26318,26318,0,1.0,0.7229425337874958,5818,5531,0.9506703334479203,0.8748763872101967,14471,4555
city,both_present,56897,37574,19323,27487,27487,0,1.0,0.7315430883057433,6232,5532,0.8876765083440308,0.8787725554904987,23178,4555
city,neither_present,2830,1637,1193,1637,1637,0,1.0,1.0,0,0,,1.0,1193,0
date_of_birth,both_present,7451,1504,5947,1503,1503,0,1.0,0.9993351063829787,221,1,0.004524886877828055,1.0,5727,0
date_of_birth,exactly_one_present,28730,25330,3400,18061,18061,0,1.0,0.7130280300039479,4453,4085,0.9173590837637547,0.8742992499013028,6216,3184
date_of_birth,neither_present,23546,12377,11169,9560,9560,0,1.0,0.7724004201341197,1558,1446,0.9281129653401797,0.8892300234305567,12428,1371
device,both_present,56897,37574,19323,27487,27487,0,1.0,0.7315430883057433,6232,5532,0.8876765083440308,0.8787725554904987,23178,4555
device,neither_present,2830,1637,1193,1637,1637,0,1.0,1.0,0,0,,1.0,1193,0
email,both_present,57635,37861,19774,28227,28227,0,1.0,0.7455429069491033,5957,5290,0.888030888030888,0.8852645202186947,23451,4344
email,exactly_one_present,2076,1348,728,895,895,0,1.0,0.663946587537092,274,242,0.8832116788321168,0.8434718100890207,907,211
email,neither_present,16,2,14,2,2,0,1.0,1.0,1,0,0.0,1.0,13,0
name,both_present,59644,39146,20498,29074,29074,0,1.0,0.7427067899657692,6216,5517,0.8875482625482626,0.8836407295764573,24354,4555
name,exactly_one_present,83,65,18,50,50,0,1.0,0.7692307692307693,16,15,0.9375,1.0,17,0
payment,both_present,1729,536,1193,536,536,0,1.0,1.0,0,0,,1.0,1193,0
payment,neither_present,57998,38675,19323,28588,28588,0,1.0,0.7391855203619909,6232,5532,0.8876765083440308,0.8822236586942469,23178,4555
phone,both_present,31507,23237,8270,23212,23212,0,1.0,0.9989241296208633,110,25,0.22727272727272727,1.0,8185,0
phone,exactly_one_present,12474,10647,1827,1170,1170,0,1.0,0.10989010989010989,5759,5185,0.9003299183886091,0.5968817507279046,5545,4292
phone,neither_present,15746,5327,10419,4742,4742,0,1.0,0.8901820912333396,363,322,0.8870523415977961,0.950628871785245,10641,263
