partition,score_band,mean_score,observed_match_rate,candidate_pairs,true_match_pairs,true_non_match_pairs,auto_merge_pairs,auto_merge_true_positives,auto_merge_false_positives,auto_merge_precision,auto_merge_recall,human_review_pairs,human_review_true_matches,human_review_yield,assisted_recall,leave_separate_pairs,leave_separate_true_matches
test,"[0.0,0.1)",0.014442548800000857,0.0,9375,0,9375,0,0,0,,,0,0,,,9375,0
test,"[0.1,0.2)",0.1193259033816421,0.0,207,0,207,0,0,0,,,0,0,,,207,0
test,"[0.2,0.3)",0.2866535397712025,0.2984231091264304,14332,4277,10055,0,0,0,,0.0,0,0,,0.0,14332,4277
test,"[0.3,0.4)",0.3791499999999999,0.0,27,0,27,0,0,0,,,0,0,,,27,0
test,"[0.4,0.5)",0.4084809999999996,0.0,94,0,94,0,0,0,,,0,0,,,94,0
test,"[0.5,0.6)",0.5889040922619052,0.8273809523809523,336,278,58,0,0,0,,0.0,0,0,,0.0,336,278
test,"[0.6,0.7)",0.6876909999999986,0.9211822660098522,406,374,32,0,0,0,,0.0,406,374,0.9211822660098522,1.0,0,0
test,"[0.7,0.8)",0.7683458064516132,1.0,31,31,0,0,0,0,,0.0,31,31,1.0,1.0,0,0
test,"[0.8,0.9)",0.8526173352233825,0.8852233676975945,5820,5152,668,25,25,0,1.0,0.004852484472049689,5795,5127,0.8847282139775668,1.0,0,0
test,"[0.9,1.0]",0.9932042675347269,1.0,29099,29099,0,29099,29099,0,1.0,1.0,0,0,,1.0,0,0
validation,"[0.0,0.1)",0.014739535597445778,0.0,6419,0,6419,0,0,0,,,0,0,,,6419,0
validation,"[0.1,0.2)",0.1198022201834864,0.0,109,0,109,0,0,0,,,0,0,,,109,0
validation,"[0.2,0.3)",0.28658417595652347,0.2920955525344727,10298,3008,7290,0,0,0,,0.0,0,0,,0.0,10298,3008
validation,"[0.3,0.4)",0.3798891000000001,0.05,20,1,19,0,0,0,,0.0,0,0,,0.0,20,1
validation,"[0.4,0.5)",0.40848099999999976,0.0,46,0,46,0,0,0,,,0,0,,,46,0
validation,"[0.5,0.6)",0.5907131144278612,0.8308457711442786,201,167,34,0,0,0,,0.0,0,0,,0.0,201,167
validation,"[0.6,0.7)",0.6876910000000008,0.8961538461538462,260,233,27,0,0,0,,0.0,260,233,0.8961538461538462,1.0,0,0
validation,"[0.7,0.8)",0.7702369444444447,0.9444444444444444,18,17,1,0,0,0,,0.0,18,17,0.9444444444444444,1.0,0,0
validation,"[0.8,0.9)",0.8525812511358463,0.8798586572438163,3962,3486,476,14,14,0,1.0,0.004016064257028112,3948,3472,0.8794326241134752,1.0,0,0
validation,"[0.9,1.0]",0.9931593251368371,1.0,19724,19724,0,19724,19724,0,1.0,1.0,0,0,,1.0,0,0
