decision,source_pair,positive_evidence,conflicts,pair_count,mean_score,minimum_score,maximum_score
human_review,app_users+ticketing,name_city,email_conflict,3407,0.853265,0.853265,0.853265
human_review,social_logins+ticketing,name_city,email_conflict,1334,0.853265,0.853265,0.853265
human_review,app_users+ticketing,exact_device_id,email_conflict,374,0.687691,0.687691,0.687691
human_review,app_users+ticketing,name_city,(none),265,0.841392,0.841392,0.841392
human_review,ticketing+ticketing,name_city,email_conflict,68,0.853265,0.853265,0.853265
human_review,app_users+ticketing,exact_device_id,(none),27,0.824122,0.824122,0.824122
human_review,ticketing+ticketing,exact_phone,email_conflict;name_conflict,25,0.772268,0.772268,0.772268
human_review,social_logins+ticketing,name_city,(none),12,0.841392,0.841392,0.841392
human_review,ticketing+ticketing,name_city,(none),7,0.841392,0.841392,0.841392
human_review,app_users+ticketing,exact_device_id;exact_email,account_reference_conflict,4,0.757589,0.757589,0.757589
human_review,app_users+ticketing,email_skeleton;exact_device_id;name_city,account_reference_conflict,3,0.858684,0.858684,0.858684
human_review,app_users+ticketing,exact_account_reference;exact_device_id;exact_email,name_conflict,3,0.827364,0.827364,0.827364
human_review,app_users+ticketing,exact_device_id;name_city,account_reference_conflict,2,0.740832,0.740832,0.740832
human_review,app_users+store_customers,exact_account_reference;exact_device_id;exact_email,name_conflict,1,0.827364,0.827364,0.827364
leave_separate,app_users+ticketing,exact_device_id,email_conflict;name_conflict,2925,0.287807,0.287807,0.287807
leave_separate,social_logins+ticketing,exact_device_id,email_conflict;name_conflict,1297,0.287807,0.287807,0.287807
leave_separate,app_users+ticketing,exact_device_id,name_conflict,259,0.591836,0.591836,0.591836
leave_separate,ticketing+ticketing,exact_device_id,email_conflict;name_conflict,55,0.287807,0.287807,0.287807
leave_separate,social_logins+ticketing,exact_device_id,name_conflict,15,0.591836,0.591836,0.591836
leave_separate,ticketing+ticketing,exact_device_id,name_conflict,4,0.591836,0.591836,0.591836
