event,match_event_count,nonmatch_event_count,m_probability,u_probability,present_log2_likelihood_ratio
conflict:account_reference_conflict,463,6596,0.006901018403,0.180227316194,-4.706865
conflict:date_of_birth_conflict,0,7134,7.444464e-06,0.194926368132,-14.676402
conflict:email_conflict,23751,32539,0.353634387469,0.889033086528,-1.329979
conflict:name_conflict,15839,26662,0.235833184444,0.728463703178,-1.62709
conflict:phone_conflict,0,13981,7.444464e-06,0.381997759624,-15.647037
conflict:shared_email_payment_household_risk,0,1959,7.444464e-06,0.053536788612,-12.812075
conflict:verified_email_conflict,186,193,0.002776785183,0.005286740799,-0.928963
evidence:email_skeleton,6742,0,0.100388601036,1.3660829e-05,12.843263
evidence:exact_account_reference,15537,0,0.231336728009,1.3660829e-05,14.047662
evidence:exact_device_id,47494,25553,0.707142219046,0.698163984591,0.018434
evidence:exact_email,16946,1959,0.252315228396,0.053536788612,2.236625
evidence:exact_payment_token,1024,1959,0.015253707343,0.053536788612,-1.811371
evidence:exact_phone,31264,0,0.465494907986,1.3660829e-05,15.056433
evidence:exact_provider_id,1841,0,0.027417962003,1.3660829e-05,10.970861
evidence:exact_verified_email,16768,0,0.249664999107,1.3660829e-05,14.157661
evidence:name_city,42574,8752,0.63388869037,0.239132810579,1.406417
evidence:name_date_of_birth,2158,3,0.032137752367,9.5625803e-05,8.392653
evidence:phone_suffix_9,8496,0,0.126503781788,1.3660829e-05,13.176848
evidence:same_source_record_id,8714,0,0.129749568221,1.3660829e-05,13.213397
