source,raw_field,canonical_concept,quality_flag,affected_observations
app_users,dob,date_of_birth,age_above_plausible_limit,160
app_users,first_name,first_name,trailing_quoted_annotation_removed,2681
app_users,first_name,first_name,trailing_multiline_annotation_removed,1968
app_users,first_name,first_name,trailing_multilingual_greeting_removed,1501
app_users,first_name,first_name,trailing_symbol_annotation_removed,1174
app_users,last_name,last_name,trailing_quoted_annotation_removed,2761
app_users,last_name,last_name,trailing_multiline_annotation_removed,1897
app_users,last_name,last_name,trailing_multilingual_greeting_removed,1540
app_users,last_name,last_name,trailing_symbol_annotation_removed,1102
app_users,phone,phone,country_code_not_explicit,1072
social_logins,identity_payload.display_name,full_name,contains_digit,31178
store_customers,contact_no,phone,country_code_not_explicit,1928
store_customers,customer_email_address,email,email_extracted_from_export_text,4656
store_customers,customer_email_address,email,invalid_email_structure,228
store_customers,dob,date_of_birth,age_above_plausible_limit,92
store_customers,first,first_name,trailing_quoted_annotation_removed,1953
store_customers,first,first_name,trailing_multiline_annotation_removed,1361
store_customers,first,first_name,trailing_multilingual_greeting_removed,1035
store_customers,first,first_name,trailing_symbol_annotation_removed,686
store_customers,last,last_name,trailing_quoted_annotation_removed,1942
store_customers,last,last_name,trailing_multiline_annotation_removed,1412
store_customers,last,last_name,trailing_multilingual_greeting_removed,1055
store_customers,last,last_name,trailing_symbol_annotation_removed,785
store_customers,line1,address_line1,trailing_quoted_annotation_removed,1889
store_customers,line1,address_line1,trailing_multiline_annotation_removed,1351
store_customers,line1,address_line1,trailing_multilingual_greeting_removed,1038
store_customers,line1,address_line1,trailing_symbol_annotation_removed,769
store_customers,line2,address_line2,trailing_quoted_annotation_removed,763
store_customers,line2,address_line2,trailing_symbol_annotation_removed,711
store_customers,line2,address_line2,trailing_multiline_annotation_removed,581
store_customers,line2,address_line2,trailing_multilingual_greeting_removed,458
subscriptions,billing_name,full_name,trailing_quoted_annotation_removed,1200
subscriptions,billing_name,full_name,trailing_multiline_annotation_removed,817
subscriptions,billing_name,full_name,trailing_multilingual_greeting_removed,620
subscriptions,billing_name,full_name,trailing_symbol_annotation_removed,474
subscriptions,email,email,email_extracted_from_export_text,3062
subscriptions,subscriber_name,full_name,trailing_quoted_annotation_removed,1224
subscriptions,subscriber_name,full_name,trailing_multiline_annotation_removed,906
subscriptions,subscriber_name,full_name,trailing_multilingual_greeting_removed,673
subscriptions,subscriber_name,full_name,trailing_symbol_annotation_removed,471
ticketing,full_name,full_name,contains_digit,34408
ticketing,full_name,full_name,trailing_quoted_annotation_removed,1829
ticketing,full_name,full_name,trailing_multiline_annotation_removed,1355
ticketing,full_name,full_name,trailing_multilingual_greeting_removed,982
ticketing,full_name,full_name,trailing_symbol_annotation_removed,712
ticketing,phone,phone,country_code_not_explicit,12149
