source,raw_field,canonical_concept,parsed_row_count,non_null_count,missing_count,missing_percentage,distinct_non_missing_values,uniqueness_ratio,duplicate_value_count,maximum_frequency,values_appearing_once,values_appearing_2_5_times,values_appearing_6_20_times,values_appearing_21_40_times,values_appearing_over_40_times
app_users,account_id,account_reference,120000,120000,0,0.0,0,0.0,0,0,0,0,0,0,0
app_users,account_id,source_record_id,120000,120000,0,0.0,116400,0.97,116400,6,0,115200,1200,0,0
app_users,city,city,120000,120000,0,0.0,25,0.00020833,25,4881,0,0,0,0,25
app_users,country,country,120000,120000,0,0.0,20,0.00016667,20,6134,0,0,0,0,20
app_users,device_id,device_id,120000,120000,0,0.0,96068,0.80056667,8603,14131,87465,8602,0,0,1
app_users,dob,date_of_birth,120000,114000,6000,5.0,22673,0.19888596,21863,1517,810,13450,8399,11,3
app_users,email,email,120000,114635,5365,4.470833,110503,0.96395516,2401,533,108102,2400,0,0,1
app_users,first_name,first_name,120000,114805,5195,4.329167,4062,0.03538173,2900,533,1162,1905,90,0,905
app_users,last_name,last_name,120000,114683,5317,4.430833,4058,0.03538449,2870,533,1188,1872,93,0,905
app_users,phone,phone,120000,107790,12210,10.175,106719,0.99006401,1,1072,106718,0,0,0,1
social_logins,identity_payload.display_name,full_name,90000,58678,31322,34.802222,38925,0.66336617,8175,15,30750,6995,1180,0,0
social_logins,identity_payload.hashed_email,hashed_email,90000,15625,74375,82.638889,15625,1.0,0,1,15625,0,0,0,0
social_logins,identity_payload.provider_id,provider_id,90000,90000,0,0.0,0,0.0,0,0,0,0,0,0,0
social_logins,identity_payload.provider_id,source_record_id,90000,90000,0,0.0,87300,0.97,87300,6,0,86400,900,0,0
social_logins,identity_payload.verified_email,email,90000,38843,51157,56.841111,34766,0.895039,2300,4,32466,2300,0,0,0
store_customers,app_account_ref,account_reference,80000,5000,75000,93.75,5000,1.0,0,1,5000,0,0,0,0
store_customers,city,city,80000,80000,0,0.0,25,0.0003125,25,3313,0,0,0,0,25
store_customers,contact_no,phone,80000,72470,7530,9.4125,70543,0.97340969,1,1928,70542,0,0,0,1
store_customers,country,country,80000,80000,0,0.0,20,0.00025,20,4084,0,0,0,0,20
store_customers,customer_email_address,email,80000,76735,3265,4.08125,73147,0.95324168,1605,967,71542,1600,0,2,3
store_customers,customer_id,source_record_id,80000,80000,0,0.0,77600,0.97,1600,3,76000,1600,0,0,0
store_customers,device,device_id,80000,80000,0,0.0,51714,0.646425,1619,25869,50095,1618,0,0,1
store_customers,dob,date_of_birth,80000,76000,4000,5.0,21816,0.28705263,18444,2674,3372,16473,1956,0,15
store_customers,first,first_name,80000,80000,0,0.0,3568,0.0446,2255,118,1313,1333,22,0,900
store_customers,last,last_name,80000,80000,0,0.0,3588,0.04485,2321,116,1267,1398,23,0,900
store_customers,line1,address_line1,80000,80000,0,0.0,22339,0.2792375,16353,17,5986,11904,4449,0,0
store_customers,line2,address_line2,80000,33421,46579,58.22375,859,0.0257024,531,1231,328,261,34,19,217
store_customers,postcode,postcode,80000,80000,0,0.0,50407,0.6300875,20222,8,30185,20112,110,0,0
subscriptions,billing_name,full_name,50000,50000,0,0.0,25522,0.51044,3208,26,22314,1426,1706,76,0
subscriptions,country,country,50000,50000,0,0.0,20,0.0004,20,2576,0,0,0,0,20
subscriptions,email,email,50000,50000,0,0.0,45014,0.90028,4486,3,40528,4486,0,0,0
subscriptions,payment_token,payment_token,50000,50000,0,0.0,44500,0.89,5000,3,39500,5000,0,0,0
subscriptions,subscriber_name,full_name,50000,50000,0,0.0,47276,0.94552,2135,5,45141,2135,0,0,0
subscriptions,subscription_id,source_record_id,50000,50000,0,0.0,48500,0.97,1000,3,47500,1000,0,0,0
ticketing,account_id,account_reference,80000,21386,58614,73.2675,21110,0.98709436,276,2,20834,276,0,0,0
ticketing,booking_id,source_record_id,80000,80000,0,0.0,77600,0.97,1600,3,76000,1600,0,0,0
ticketing,city,city,80000,80000,0,0.0,26,0.000325,26,22259,0,0,0,0,26
ticketing,device_id,device_id,80000,80000,0,0.0,76221,0.9527625,2953,3,73268,2953,0,0,0
ticketing,email,email,80000,78940,1060,1.325,75462,0.95594122,1780,900,73682,1779,0,0,1
ticketing,full_name,full_name,80000,80000,0,0.0,76089,0.9511125,2993,5,73096,2993,0,0,0
ticketing,phone,phone,80000,40600,39400,49.25,40166,0.98931034,434,2,39732,434,0,0,0
