attribute_concept,masked_display_value,value_hash,global_frequency,frequency_by_source,source_count,rule2_status,reason,profiling_transformation,affected_records,potential_pair_incidences
device_id,KIO…-1,1d50e4f30531ec345a725e514a0c6dd06ce80e02fcbf49285f7aba8b73498378,40000,"{""app_users"": 14131, ""store_customers"": 25869}",2,worthless,"Observed on 40,000 physical records; strict Rule 2 threshold is greater than 40.",trim only,40000,799980000
city,R***,38aa0c81ee5fb143feae558a162875448150e3652223ca0b4acd372cd962a4fe,22259,"{""ticketing"": 22259}",1,worthless,"Observed on 22,259 physical records; strict Rule 2 threshold is greater than 40.",trim only,22259,247720411
country,I***,8b2c3391ea57fb4031878e60d7c5226276e2595c4e75561ff97fd55feed75b1d,12686,"{""app_users"": 6098, ""store_customers"": 4073, ""subscriptions"": 2515}",3,worthless,"Observed on 12,686 physical records; strict Rule 2 threshold is greater than 40.",trim only,12686,80460955
country,Uni…es,b2da265145e0198d75010467fcb670146ddc3b23a3432c078876c120fd24b336,12667,"{""app_users"": 6134, ""store_customers"": 4080, ""subscriptions"": 2453}",3,worthless,"Observed on 12,667 physical records; strict Rule 2 threshold is greater than 40.",trim only,12667,80220111
country,I**,54c3f4a303809fc998fae7b72d27c52f3fa1de068b27eb9e8ae1c0a8cf9bf6f7,12638,"{""app_users"": 6081, ""store_customers"": 3983, ""subscriptions"": 2574}",3,worthless,"Observed on 12,638 physical records; strict Rule 2 threshold is greater than 40.",trim only,12638,79853203
country,U***,55a405993b4c69eab7b62ef22f64b1037da38d67466645a8d78d06d0a8fe71c6,12636,"{""app_users"": 6040, ""store_customers"": 4047, ""subscriptions"": 2549}",3,worthless,"Observed on 12,636 physical records; strict Rule 2 threshold is greater than 40.",trim only,12636,79827930
country,Uni…om,d8244a2671d88d2b11ba7ee76b38a5eac8e7cef6a0f17a3b23f5394a48e57981,12613,"{""app_users"": 6032, ""store_customers"": 4054, ""subscriptions"": 2527}",3,worthless,"Observed on 12,613 physical records; strict Rule 2 threshold is greater than 40.",trim only,12613,79537578
country,G**,a0e25654456095d9b99bf8d23c29ee42db431ce6d6b661a7ffd7303896d85b7c,12556,"{""app_users"": 6115, ""store_customers"": 4004, ""subscriptions"": 2437}",3,worthless,"Observed on 12,556 physical records; strict Rule 2 threshold is greater than 40.",trim only,12556,78820290
country,A**,6f24b70609a682c1833552c293d440d94858a266785224be20385bddfe8eb2b2,12531,"{""app_users"": 6005, ""store_customers"": 4041, ""subscriptions"": 2485}",3,worthless,"Observed on 12,531 physical records; strict Rule 2 threshold is greater than 40.",trim only,12531,78506715
country,A**,4bf271bcb3ae5111f108dae00136d6a52f8167689393d70d71c4df4e949820f2,12513,"{""app_users"": 5989, ""store_customers"": 4048, ""subscriptions"": 2476}",3,worthless,"Observed on 12,513 physical records; strict Rule 2 threshold is greater than 40.",trim only,12513,78281328
