partition,source_pair,true_match_pairs,auto_merge_true_matches,human_review_true_matches,leave_separate_true_matches,auto_recall,assisted_recall,unresolved_true_matches,share_of_partition_recall_gap,mean_unresolved_score
development,app_users+ticketing,30628,18475,6641,5512,0.6032062165338905,0.8200339558573854,12153,0.7254223124216558,0.598550091829178
development,social_logins+ticketing,11023,6657,2135,2231,0.6039190782908465,0.7976050077111494,4366,0.2606100399928371,0.567223918918919
development,ticketing+ticketing,2152,1921,141,90,0.8926579925650557,0.95817843866171,231,0.013788575180564675,0.6241848917748918
development,app_users+social_logins,11563,11560,3,0,0.9997405517599239,1.0,3,0.0001790724049423984,0.824113
development,app_users+app_users,2505,2505,0,0,1.0,1.0,0,0.0,
development,app_users+store_customers,2519,2519,0,0,1.0,1.0,0,0.0,
development,social_logins+social_logins,3389,3389,0,0,1.0,1.0,0,0.0,
development,social_logins+store_customers,688,688,0,0,1.0,1.0,0,0.0,
development,store_customers+store_customers,1672,1672,0,0,1.0,1.0,0,0.0,
development,subscriptions+subscriptions,1024,1024,0,0,1.0,1.0,0,0.0,
validation,app_users+ticketing,12199,7212,2762,2225,0.5911959996721042,0.8176080006557914,4987,0.7229631777326762,0.6019273493082014
validation,social_logins+ticketing,4389,2591,891,907,0.5903394850763272,0.7933470038733197,1798,0.26065526239489706,0.5706330956618465
validation,ticketing+ticketing,858,747,67,44,0.8706293706293706,0.9487179487179487,111,0.016091620759640476,0.617960018018018
validation,app_users+social_logins,4595,4594,1,0,0.9997823721436344,1.0,1,0.00014496955639315743,0.824122
validation,app_users+store_customers,977,976,1,0,0.9989764585465711,1.0,1,0.00014496955639315743,0.827364
validation,app_users+app_users,979,979,0,0,1.0,1.0,0,0.0,
validation,social_logins+social_logins,1282,1282,0,0,1.0,1.0,0,0.0,
validation,social_logins+store_customers,272,272,0,0,1.0,1.0,0,0.0,
validation,store_customers+store_customers,645,645,0,0,1.0,1.0,0,0.0,
validation,subscriptions+subscriptions,440,440,0,0,1.0,1.0,0,0.0,
combined,app_users+ticketing,42827,25687,9403,7737,0.5997851822448456,0.8193429378662993,17140,0.7247050864656885,0.5995327279463244
combined,social_logins+ticketing,15412,9248,3026,3138,0.600051907604464,0.7963924214897482,6164,0.26062322946175637,0.5682183543153797
combined,ticketing+ticketing,3010,2668,208,134,0.8863787375415283,0.9554817275747508,342,0.014460276521077333,0.6221645380116959
combined,app_users+social_logins,16158,16154,4,0,0.9997524446094813,1.0,4,0.00016912604118219103,0.82411525
combined,app_users+store_customers,3496,3495,1,0,0.9997139588100686,1.0,1,4.228151029554776e-05,0.827364
combined,app_users+app_users,3484,3484,0,0,1.0,1.0,0,0.0,
combined,social_logins+social_logins,4671,4671,0,0,1.0,1.0,0,0.0,
combined,social_logins+store_customers,960,960,0,0,1.0,1.0,0,0.0,
combined,store_customers+store_customers,2317,2317,0,0,1.0,1.0,0,0.0,
combined,subscriptions+subscriptions,1464,1464,0,0,1.0,1.0,0,0.0,
