decision,source_pair,positive_evidence,conflicts,blocking_rules,pair_count,mean_score,minimum_score,maximum_score
human_review,app_users+ticketing,name_city,email_conflict,name_city,7912,0.853265,0.853265,0.853265
human_review,social_logins+ticketing,name_city,email_conflict,name_city,2979,0.853265,0.853265,0.853265
human_review,app_users+ticketing,exact_device_id,email_conflict,exact_device_id,791,0.6876910000000002,0.687691,0.687691
human_review,app_users+ticketing,name_city,(none),name_city,631,0.841392,0.841392,0.841392
human_review,ticketing+ticketing,name_city,email_conflict,name_city,150,0.853265,0.853265,0.853265
human_review,ticketing+ticketing,exact_phone,email_conflict;name_conflict,exact_phone;phone_suffix_9,55,0.772268,0.772268,0.772268
human_review,social_logins+ticketing,name_city,(none),name_city,47,0.8413920000000001,0.841392,0.841392
human_review,app_users+ticketing,exact_device_id,(none),exact_device_id,44,0.8241220000000001,0.824122,0.824122
human_review,app_users+ticketing,email_skeleton;exact_device_id;name_city,account_reference_conflict,email_skeleton;exact_device_id;name_city,10,0.858684,0.858684,0.858684
human_review,app_users+ticketing,exact_device_id;exact_email,account_reference_conflict,email_sha256_bridge;email_skeleton;exact_device_id;exact_email,4,0.757589,0.757589,0.757589
human_review,app_users+social_logins,exact_device_id,(none),exact_device_id,3,0.824122,0.824122,0.824122
human_review,app_users+ticketing,exact_device_id;name_city,account_reference_conflict,exact_device_id;name_city,3,0.740832,0.740832,0.740832
human_review,app_users+ticketing,email_skeleton;exact_device_id,account_reference_conflict,email_skeleton;exact_device_id,2,0.70966,0.70966,0.70966
human_review,app_users+ticketing,exact_account_reference;exact_device_id;exact_email,name_conflict,email_sha256_bridge;email_skeleton;exact_account_reference;exact_device_id;exact_email;numeric_account_reference,2,0.827364,0.827364,0.827364
human_review,app_users+ticketing,email_skeleton;exact_device_id;exact_phone,account_reference_conflict;name_conflict,email_skeleton;exact_device_id;exact_phone;phone_suffix_9,2,0.827443,0.827443,0.827443
human_review,ticketing+ticketing,name_city,(none),name_city,2,0.841392,0.841392,0.841392
human_review,app_users+social_logins,exact_device_id;exact_verified_email,name_conflict,email_sha256_bridge;email_skeleton;exact_device_id;exact_email,1,0.824095,0.824095,0.824095
human_review,app_users+store_customers,exact_account_reference;exact_device_id;exact_email,name_conflict,email_sha256_bridge;email_skeleton;exact_device_id;exact_email;numeric_account_reference,1,0.827364,0.827364,0.827364
human_review,app_users+ticketing,exact_device_id;exact_email;exact_phone,account_reference_conflict;name_conflict,email_sha256_bridge;email_skeleton;exact_device_id;exact_email;exact_phone;phone_suffix_9,1,0.763247,0.763247,0.763247
human_review,app_users+ticketing,email_skeleton;exact_device_id,name_conflict,email_skeleton;exact_device_id,1,0.713855,0.713855,0.713855
human_review,ticketing+ticketing,exact_phone,name_conflict,exact_phone;phone_suffix_9,1,0.850744,0.850744,0.850744
leave_separate,app_users+ticketing,exact_device_id,email_conflict;name_conflict,exact_device_id,7187,0.287807,0.287807,0.287807
leave_separate,social_logins+ticketing,exact_device_id,email_conflict;name_conflict,exact_device_id,3079,0.287807,0.287807,0.287807
leave_separate,app_users+ticketing,exact_device_id,name_conflict,exact_device_id,548,0.591836,0.591836,0.591836
leave_separate,ticketing+ticketing,exact_device_id,email_conflict;name_conflict,exact_device_id,130,0.287807,0.287807,0.287807
leave_separate,social_logins+ticketing,exact_device_id,name_conflict,exact_device_id,59,0.5918359999999999,0.591836,0.591836
leave_separate,ticketing+ticketing,exact_device_id,name_conflict,exact_device_id,4,0.591836,0.591836,0.591836
leave_separate,app_users+ticketing,exact_device_id,account_reference_conflict,exact_device_id,1,0.580279,0.580279,0.580279
leave_separate,app_users+ticketing,email_skeleton;exact_device_id,account_reference_conflict;name_conflict,email_skeleton;exact_device_id,1,0.393932,0.393932,0.393932
